CustomerID,Gender,Age,Tenure,Contract,InternetService,TechSupport,PaymentMethod,NumProducts,NumSupportTickets,MonthlyCharges,TotalCharges,Churn
CUST0001,Male,60,52,Month-to-month,DSL,Yes,Electronic check,3,2,43.98,2394.7,0
CUST0002,Female,54,15,Month-to-month,DSL,Yes,Mailed check,1,0,103.77,1742.58,0
CUST0003,Male,36,61,Two year,Fiber optic,No,Electronic check,2,1,21.92,1296.81,0
CUST0004,Male,70,21,Month-to-month,Fiber optic,No,Electronic check,2,2,109.98,2189.57,1
CUST0005,Female,41,24,Month-to-month,DSL,No,Mailed check,2,1,65.07,1332.49,0
CUST0006,Female,73,3,One year,DSL,Yes,Electronic check,1,2,82.99,273.36,0
CUST0007,Female,51,22,Month-to-month,Fiber optic,Yes,Credit card,1,1,85.25,2044.85,0
CUST0008,Female,39,53,Two year,Fiber optic,No,Mailed check,4,1,109.3,5105.49,0
CUST0009,Male,21,2,Month-to-month,Fiber optic,No,Bank transfer,1,1,82.94,169.7,0
CUST0010,Female,74,30,Month-to-month,No,No,Electronic check,3,0,80.62,2392.47,1
CUST0011,Male,27,38,Two year,Fiber optic,No,Electronic check,4,0,24.8,834.6,0
CUST0012,Female,19,2,Month-to-month,Fiber optic,No,Credit card,1,0,70.88,162.2,0
CUST0013,Female,25,64,One year,Fiber optic,No,Credit card,1,0,33.32,1949.96,0
CUST0014,Female,50,60,Month-to-month,No,Yes,Bank transfer,2,2,93.22,4867.04,0
CUST0015,Male,55,21,Month-to-month,Fiber optic,No,Electronic check,4,0,70.25,1517.23,1
CUST0016,Female,60,33,Two year,DSL,Yes,Bank transfer,4,2,87.38,3090.17,0
CUST0017,Male,45,58,Month-to-month,DSL,Yes,Bank transfer,2,0,22.25,1109.49,1
CUST0018,Female,27,22,Month-to-month,No,Yes,Electronic check,3,0,26.65,614.22,0
CUST0019,Female,62,49,Month-to-month,DSL,Yes,Bank transfer,1,0,91.06,4505.17,0
CUST0020,Male,18,59,Month-to-month,Fiber optic,No,Bank transfer,4,0,25.35,1317.64,0
CUST0021,Male,51,42,One year,No,Yes,Credit card,4,1,25.27,957.07,0
CUST0022,Female,20,60,Two year,Fiber optic,Yes,Credit card,1,1,19.24,1177.94,0
CUST0023,Female,26,15,One year,Fiber optic,No,Bank transfer,1,3,115.56,1627.5,0
CUST0024,Male,22,62,One year,DSL,No,Electronic check,1,1,93.23,6540.33,0
CUST0025,Female,59,62,Month-to-month,Fiber optic,No,Credit card,1,2,54.03,3670.18,1
CUST0026,Male,27,47,Month-to-month,DSL,No,Bank transfer,3,2,48.25,2596.73,0
CUST0027,Female,29,62,One year,No,No,Mailed check,2,0,53.67,3087.63,0
CUST0028,Male,35,51,Month-to-month,Fiber optic,Yes,Mailed check,1,0,97.01,5644.7,0
CUST0029,Male,38,55,Month-to-month,Fiber optic,Yes,Bank transfer,1,1,85.46,4603.33,0
CUST0030,Male,38,64,Two year,Fiber optic,No,Mailed check,4,1,36.89,2252.96,0
CUST0031,Male,18,3,Month-to-month,DSL,Yes,Credit card,2,1,35.76,92.81,1
CUST0032,Male,20,51,Month-to-month,DSL,Yes,Electronic check,2,1,28.04,1238.17,1
CUST0033,Female,22,7,One year,DSL,No,Bank transfer,1,2,85.35,631.87,0
CUST0034,Female,42,21,One year,Fiber optic,Yes,Credit card,4,0,95.97,1989.93,0
CUST0035,Female,66,39,Month-to-month,Fiber optic,No,Electronic check,3,2,45.03,1612.09,1
CUST0036,Female,25,18,Month-to-month,Fiber optic,No,Mailed check,1,2,20.14,374.91,1
CUST0037,Female,34,4,Two year,Fiber optic,No,Mailed check,1,0,26.38,97.7,0
CUST0038,Female,26,60,One year,No,No,Mailed check,1,1,116.72,7166.3,0
CUST0039,Female,49,14,Two year,DSL,Yes,Mailed check,1,1,48.14,645.49,0
CUST0040,Female,23,9,Month-to-month,Fiber optic,No,Credit card,2,1,96.46,952.41,0
CUST0041,Female,66,53,Month-to-month,DSL,No,Credit card,4,1,81.72,4747.86,0
CUST0042,Male,57,2,Month-to-month,Fiber optic,Yes,Electronic check,2,0,56.96,113.15,1
CUST0043,Male,38,60,Month-to-month,DSL,No,Bank transfer,3,0,38.98,2234.13,0
CUST0044,Female,24,71,Month-to-month,Fiber optic,No,Electronic check,2,0,30.38,2068.04,0
CUST0045,Male,24,44,Month-to-month,DSL,Yes,Bank transfer,3,0,80.73,3877.9,0
CUST0046,Female,64,8,Month-to-month,DSL,No,Mailed check,3,0,97.01,736.08,0
CUST0047,Male,56,47,One year,No,No,Mailed check,1,1,83.68,3589.68,0
CUST0048,Male,71,35,One year,DSL,Yes,Mailed check,2,1,72.09,2208.78,0
CUST0049,Male,44,36,Month-to-month,Fiber optic,No,Mailed check,2,1,22.28,794.07,0
CUST0050,Female,25,50,Month-to-month,Fiber optic,No,Credit card,1,0,116.79,5808.2,0
CUST0051,Female,26,4,Month-to-month,Fiber optic,No,Electronic check,2,1,99.47,438.57,0
CUST0052,Female,45,2,Month-to-month,Fiber optic,Yes,Bank transfer,2,3,47.87,87.73,0
CUST0053,Female,32,6,Month-to-month,Fiber optic,No,Bank transfer,4,1,117.96,682.49,0
